Codigo	Descripcion	Precio Costo	Precio Venta
7791290796119	CANASTA INODORO VIM 50 G OCEANO	$3,045.16	$4,300.00
CANASJQ	CANASTA JAMON Y QUESO CONGELADA	$6,358.00	$8,900.00
CANASVER	CANASTA VERDURA CONGELADA	$4,690.00	$6,800.00
7791290794160	CANASTA VIM 35 G CITRUS	$1,615.83	$2,300.00
7791290794177	CANASTA VIM 35 G OCEANO	$2,151.21	$3,100.00
7790314080142	CANCILLER BLEND 1.125	$2,501.94	$3,500.00
7790314080463	CANCILLER BLEND DULCE 1125	$2,301.79	$3,500.00
7790314009693	CANCILLER IV BLEND TEMPRANILLO MERLOT CABERNET	$429.84	$900.45
7790150436080	CANELA EN RAMA LA VIRGINIA20 G	$1,944.66	$2,800.00
7790150435380	CANELA MOLIDA 25 G C 12	$1,107.06	$1,600.00
7798131010311	CANO TUO 12 UB	$2,083.33	$3,200.00
7790522000253	CAPELETTI MENDIA	$2,340.00	$3,300.00
PROMOCAPRI	CAPRI MAS COCA 2.5 LTS	$4,266.00	$5,800.00
7791118000855	CAPUCCINO BESSONE 150GR	$900.00	$1,300.00
7790580178208	CAR MASTICABLE ARCOR FRUTALES 242 UB	$27.57	$40.00
7790580471309	CAR RELLENOS ARCOR FRUTALES 135 UB	$47.97	$75.00
7790580214104	CARAMELO FRUTAL RODAJAS ACIDAS 930 G 198 UB	$43.36	$75.00
7792354003709	CARAMELO MARENGO CHERRY 102 UB	$24.02	$50.00
7798186031699	CARAMELO MASTICABLE BULL DOGS DROPS 110 UB	$34.50	$50.00
7790580102869	CARAMELO MIX CRISTALES 810 G 180 U	$23.75	$40.00
CARATOS	CARAMELO PARA LA TOS	$755.00	$1,300.00
CARANT	CARAMELOS ANTIBIOTICOS FECOFAR	$211.11	$300.00
7790580128531	CARAMELOS ARCOR STRONG 800 G 400 UB	$0.00	$50.00
7790580118273	CARAMELOS DELICIA MENTA CHOCOLATE 715 G 135 UB	$44.08	$75.00
7790580145019	CARAMELOS FIZZ ESPANTO LENGUA 48 UB	$151.29	$250.00
7790580223205	CARAMELOS FIZZ EXTREME 48 UB	$188.31	$300.00
7790580149048	CARAMELOS FIZZ PICANTE 48 UB	$188.31	$300.00
7790580296506	CARAMELOS FRUTALES RODAJAS CRAZY BOLSA 99 U	$15.30	$41,148.00
7792354004621	CARAMELOS MARENGO D DE LECHE 75 UB	$37.12	$50.00
7790580141356	CARAMELOS MAST BLOODY MONSTERS 30 G 8 UB	$328.04	$500.00
7790580106737	CARAMELOS MASTICABLE FRUTALES 242 UB	$24.88	$35.00
7790580134259	CARAMELOS MENTA CRISTAL 140 G	$378.81	$1,500.00
7790580118341	CARAMELOS MENTA CRISTAL 810 G 180 UB	$47.84	$75.00
7790580118297	CARAMELOS MIEL Y MENTA 67 UB	$44.33	$75.00
7790580118280	CARAMELOS RELLENOS MIEL 135 U 675 G	$46.73	$75.00
7790580133528	CARAMELOS SURTIDOS CAJA 242 G	$1,500.00	$2,500.00
CARBON	CARBON	$1,500.00	$2,000.00
CARBONPAPEL	CARBON BOLSA PAPEL C ENCENDIDO	$3,000.00	$4,200.00
7909189351404	CARE AVON 1L	$20,000.00	$20,000.00
CAR	CARNE	$76.92	$100.00
7790290008291	CARPANO BLANCO DRY 950 ML	$3,647.75	$5,000.00
7790290008192	CARPANO ROSSO CLASICO 1 L	$5,102.00	$7,000.00
7453038473064	CARTAS DE TRUCO NAIPES	$500.00	$1,500.00
7791337060944	CASAMCREM LIGHT 290 G FORTIFICADO	$3,873.77	$5,500.00
7791337061361	CASANCREM ENTERO 290 G	$4,436.26	$6,200.00
7791337005389	CASANCREM ENTERO 290 G	$4,060.00	$5,700.00
7791337060784	CASANCREM ENTERO 290 G	$4,060.00	$5,700.00
7791337060937	CASANCREM LIGHT 290 G	$4,060.00	$5,700.00
7791337061385	CASANCREM LIGHT 290 G	$4,436.26	$6,200.00
7791337005396	CASANCREM LIGHT 290 G	$4,436.26	$6,200.00
7791337060791	CASANCREM LIGHT 290 G	$4,060.00	$5,700.00
7798347089422	CATY HOUSE CONFITES 64 G	$1,037.78	$1,450.00
7791200000121	CAZALIS LEGER 950 CC	$4,106.71	$5,800.00
7795767000198	CAÑA CACHAPE 500 CC C 10 U	$150.00	$240.00
7500435213516	CEBION MASTICABLES	$902.00	$1,300.00
7500435213486	CEBION MASTICABLES	$902.00	$1,300.00
230	CEBOLLA	$833.33	$1,300.00
CEBOLLITA	CEBOLLITA PEREJIL VERDEO	$583.00	$900.00
CEFA	CEFALEXINA	$168.75	$300.00
7791004000068	CELUSAL PARRILLERA	$3,420.00	$4,800.00
8710522360606	CEPIDO DE DIENTES CLOSE UP 12 UB	$738.37	$1,100.00
5900273001566	CEPILLO COLGATE EXCLEAN MED BRISTLES	$871.70	$1,300.00
7509546073453	CEPILLO COLGATE KIDS 5+	$550.58	$3,000.00
7591083011098	CEPILLO COLGATE NIÑOS BARBIEMINIONS	$2,264.97	$3,200.00
6910021007206	CEPILLO COLGATE PREMIER 12 UB	$1,143.45	$1,600.00
7702010631207	CEPILLO COLGATE X 2	$451.21	$1,073.89
7702010630422	CEPILLO COLGATE X2	$1,400.00	$2,000.00
7795513058954	CEPILLO DE PISO CARIÑO	$2,406.89	$3,400.00
7798012210915	CEPILLO MANU XPER MADERA	$4,044.00	$2,100.00
7891055111604	CEPILLO MULTIUSOS CONDOR MADERA	$1,018.75	$1,500.00
7790345224003	CEPILLO MULTIUSOS JEAN SAMANTHA PLASTICO	$1,125.68	$1,600.00
3014260802189	CEPILLO ORAL B 1.2.3	$347.70	$500.00
18	CEPILLO OVAL	$4,818.00	$2,400.00
7798012210977	CEPILLO PLANCHI LUCERO	$4,584.00	$2,300.00
7798126370031	CEPILLO PLANCHITA LA PORTEÑA	$1,500.00	$2,000.00
7798012210816	CEPILLO PLASTICO XPER DELY	$4,638.00	$2,400.00
7790895009846	CEPITA 1 L DURAZNO	$2,131.00	$2,900.00
7790895647017	CEPITA 1 L TB MANZANA	$2,131.00	$2,900.00
7790895647123	CEPITA 1 L TB MULTIFRUTA	$2,131.00	$2,900.00
7790895646560	CEPITA 1 L TB NARANJA	$2,131.00	$2,900.00
7790895649264	CEPITA 1 LITRO NARANJA MANDARINA	$2,131.00	$2,900.00
7790895641749	CEPITA 1.5 L ANANA	$2,387.60	$3,200.00
7790895641534	CEPITA 1.5 L DURAZNO	$1,704.39	$3,200.00
7790895004933	CEPITA 1.5 L MANZANA	$2,387.60	$3,200.00
7790895641800	CEPITA 1.5 L NARANJA TEN	$2,387.60	$3,200.00
7790895000720	CEPITA 200 CC MANZANA	$416.33	$600.00
7790895000737	CEPITA 200 CC MULTIFRUTA	$416.33	$600.00
7790895641596	CEPITA 200 CC NARANJA	$416.33	$600.00
7790895647130	CEPITA 200 ML MULTIF	$416.33	$600.00
7790895641794	CEPITA 300 C C NARANJA	$500.00	$650.00
7790895641541	CEPITA 300 ML	$500.00	$650.00
7790895646737	CEPITA FRESH 1.5 L NARANJA	$937.33	$1,300.00
7790895646775	CEPITA FRESH 1.5 POMELO PROMO	$937.33	$1,300.00
7790895647802	CEPITA FRESH 2 L NARANJA	$1,016.00	$1,400.00
7790895647819	CEPITA FRESH 2 L POMELO	$1,016.00	$1,400.00
7790895650000	CEPITA FRESH 3LTS POMELO	$1,600.00	$2,300.00
7790895648700	CEPITA FRESH NARANJA 3 L	$1,600.00	$2,300.00
7792798000395	CER 340 BRAHMITA RETORNABLE	$930.36	$1,400.00
3162330450010	CER 473 STARBERG LAGER	$1,018.50	$1,500.00
7792798007394	CER1 QUILMES BOSK	$1,457.50	$2,000.00
7793147573591	CER1L AMSTEL	$1,701.95	$3,000.00
7792798012879	CER1L ANDES FRESQUITA	$984.50	$1,400.00
7792798002139	CER1L ANDES NEGRA	$2,762.00	$3,600.00
7792798014972	CER1L ANDES ORO	$2,666.67	$3,400.00
7792798002122	CER1L ANDES ROJA	$3,087.62	$4,300.00
7792798002115	CER1L ANDES RUBIA	$927.03	$1,200.00
7792798007493	CER1L BRAHMA	$2,833.33	$3,600.00
7791234020249	CER1L GOLDEN SAFT PLASTICO	$1,512.63	$2,200.00
7793147000899	CER1L HEINEKEN	$4,625.00	$6,000.00
7793147571177	CER1L IMPERIAL APA	$800.00	$1,000.00
7793147573720	CER1L IMPERIAL GOLDEN	$2,625.00	$3,400.00
7793147570330	CER1L IMPERIAL IPA	$800.00	$1,000.00
7793147001001	CER1L IMPERIAL LAGER ROJ	$800.00	$1,000.00
7793147572747	CER1L IMPERIAL ROJA	$800.00	$1,000.00
7793147000998	CER1L IMPERIAL STOUT	$800.00	$1,000.00
7793147570088	CER1L MILLER	$3,750.00	$3,600.00
7792798012961	CER1L PATAGONIA AMBER LAGUER	$803.33	$1,200.00
78409613	CER1L PILSEN (INCLUYE ENVASE)	$2,916.66	$4,000.00
7792798007738	CER1L QUILMES 1890	$2,000.00	$2,400.00
